year,date,median,low,high
2020,2020-01-22,9.0,0,28.0
2020,2020-01-23,8.0,0,27.0
2020,2020-01-24,10.0,0,31.0
2020,2020-01-25,6.0,0,20.0
2020,2020-01-26,6.0,0,20.0
2020,2020-01-27,9.0,0,28.0
2020,2020-01-28,8.0,0,26.0
2020,2020-01-29,8.0,0,27.0
2020,2020-01-30,9.0,0,28.0
2020,2020-01-31,11.0,0,33.0
2020,2020-02-01,8.0,0,25.0
2020,2020-02-02,6.0,0,19.0
2020,2020-02-03,9.0,0,29.0
2020,2020-02-04,9.0,0,28.0
2020,2020-02-05,8.0,0,27.0
2020,2020-02-06,9.0,0,27.0
2020,2020-02-07,10.0,0,30.0
2020,2020-02-08,8.0,0,26.0
2020,2020-02-09,6.0,0,20.0
2020,2020-02-10,8.0,0,28.0
2020,2020-02-11,9.0,0,27.0
2020,2020-02-12,9.0,0,28.0
2020,2020-02-13,8.0,0,27.0
2020,2020-02-14,10.0,0,30.0
2020,2020-02-15,7.0,0,23.0
2020,2020-02-16,6.0,0,20.0
2020,2020-02-17,7.0,0,22.0
2020,2020-02-18,8.0,0,26.0
2020,2020-02-19,8.0,0,27.0
2020,2020-02-20,9.0,0,29.0
2020,2020-02-21,9.0,0,28.0
2020,2020-02-22,8.0,0,25.0
2020,2020-02-23,6.0,0,20.0
2020,2020-02-24,8.0,0,28.0
2020,2020-02-25,6.0,0,21.0
2020,2020-02-26,9.0,0,29.0
2020,2020-02-27,9.0,0,29.0
2020,2020-02-28,10.0,0,30.0
2020,2020-02-29,7.0,0,24.0
2020,2020-03-01,5.0,0,18.0
2020,2020-03-02,8.0,0,26.0
2020,2020-03-03,8.0,0,25.0
2020,2020-03-04,8.0,0,26.0
2020,2020-03-05,8.0,0,26.0
2020,2020-03-06,8.0,0,25.0
2020,2020-03-07,7.0,0,23.0
2020,2020-03-08,5.0,0,17.0
2020,2020-03-09,8.0,0,25.0
2020,2020-03-10,7.0,0,23.0
2020,2020-03-11,7.0,0,23.0
2020,2020-03-12,7.0,0,21.0
2020,2020-03-13,7.0,0,22.0
2020,2020-03-14,4.0,0,15.0
2020,2020-03-15,3.0,0,12.0
2020,2020-03-16,4.0,0,14.0
2020,2020-03-17,4.0,0,13.0
2020,2020-03-18,3.0,0,12.0
2020,2020-03-19,3.0,0,11.0
2020,2020-03-20,2.0,0,9.0
2020,2020-03-21,1.0,0,6.0
2020,2020-03-22,1.0,0,6.0
2020,2020-03-23,2.0,0,8.0
2020,2020-03-24,2.0,0,9.0
2020,2020-03-25,2.0,0,9.0
2020,2020-03-26,2.0,0,8.0
2020,2020-03-27,2.0,0,9.0
2020,2020-03-28,1.0,0,6.0
2020,2020-03-29,1.0,0,5.0
2020,2020-03-30,1.0,0,7.0
2020,2020-03-31,1.0,0,7.0
2020,2020-04-01,1.0,0,7.0
2020,2020-04-02,1.0,0,7.0
2020,2020-04-03,1.0,0,7.0
2020,2020-04-04,1.0,0,7.0
2020,2020-04-05,1.0,0,5.0
2020,2020-04-06,1.0,0,7.0
2020,2020-04-07,1.0,0,6.0
2020,2020-04-08,1.0,0,6.0
2020,2020-04-09,1.0,0,6.0
2020,2020-04-10,1.0,0,6.0
2020,2020-04-11,1.0,0,7.0
2020,2020-04-12,1.0,0,5.0
2020,2020-04-13,1.0,0,5.0
2020,2020-04-14,1.0,0,7.0
2020,2020-04-15,1.0,0,7.0
2020,2020-04-16,1.0,0,7.0
2020,2020-04-17,1.0,0,7.0
2020,2020-04-18,1.0,0,6.0
2020,2020-04-19,1.0,0,6.0
2020,2020-04-20,1.0,0,6.0
2020,2020-04-21,1.0,0,6.0
2020,2020-04-22,1.0,0,7.0
2020,2020-04-23,2.0,0,8.0
