year,date,median,low,high
2019,2020-04-28,6.0,0,23.0
2019,2020-04-29,9.0,0,30.0
2019,2020-04-30,9.0,0,29.0
2019,2020-05-01,10.0,0,32.0
2019,2020-05-02,10.0,0,32.0
2019,2020-05-03,11.0,0,35.0
2019,2020-05-04,9.0,0,30.0
2019,2020-05-05,6.0,0,21.0
2019,2020-05-06,9.0,0,31.0
2019,2020-05-07,9.0,0,29.0
2019,2020-05-08,10.0,0,34.0
2019,2020-05-09,11.0,0,34.0
2019,2020-05-10,12.0,0,36.0
2019,2020-05-11,9.0,0,31.0
2019,2020-05-12,6.0,0,20.0
2019,2020-05-13,9.0,0,29.0
2019,2020-05-14,10.0,0,31.0
2019,2020-05-15,10.0,0,34.0
2019,2020-05-16,11.0,0,34.0
2019,2020-05-17,11.0,0,37.0
2019,2020-05-18,9.0,0,31.0
2019,2020-05-19,6.0,0,22.0
2019,2020-05-20,9.0,0,28.0
2019,2020-05-21,9.0,0,29.0
2019,2020-05-22,9.0,0,29.0
2019,2020-05-23,9.0,0,28.0
2019,2020-05-24,10.0,0,30.0
2019,2020-05-25,7.0,0,25.0
2019,2020-05-26,6.0,0,22.0
2019,2020-05-27,5.0,0,21.0
2019,2020-05-28,8.0,0,27.0
2019,2020-05-29,9.0,0,29.0
2019,2020-05-30,10.0,0,30.0
2019,2020-05-31,11.0,0,35.0
2019,2020-06-01,8.0,0,29.0
2019,2020-06-02,7.0,0,26.0
2019,2020-06-03,9.0,0,29.0
2019,2020-06-04,9.0,0,30.0
2019,2020-06-05,10.0,0,31.0
2019,2020-06-06,10.0,0,32.0
2019,2020-06-07,10.0,0,31.0
2019,2020-06-08,8.0,0,27.0
2019,2020-06-09,6.0,0,21.0
2019,2020-06-10,8.0,0,26.0
2019,2020-06-11,9.0,0,33.0
2019,2020-06-12,10.0,0,31.0
2019,2020-06-13,8.0,0,26.0
2019,2020-06-14,10.0,0,31.0
2019,2020-06-15,8.0,0,27.0
2019,2020-06-16,6.0,0,19.0
2019,2020-06-17,8.0,0,28.0
2019,2020-06-18,8.0,0,28.0
2019,2020-06-19,9.0,0,30.0
2019,2020-06-20,10.0,0,34.0
2019,2020-06-21,10.0,0,32.0
2019,2020-06-22,8.0,0,29.0
2019,2020-06-23,6.0,0,24.0
2019,2020-06-24,9.0,0,30.0
2019,2020-06-25,9.0,0,29.0
2019,2020-06-26,9.0,0,30.0
2019,2020-06-27,9.0,0,29.0
2019,2020-06-28,10.0,0,32.0
2019,2020-06-29,8.0,0,27.0
2019,2020-06-30,7.0,0,27.0
2019,2020-07-01,8.0,0,28.0
2019,2020-07-02,9.0,0,29.0
2019,2020-07-03,9.0,0,29.0
2019,2020-07-04,5.0,0,22.0
2019,2020-07-05,7.0,0,25.0
2019,2020-07-06,6.0,0,23.0
2019,2020-07-07,6.0,0,21.0
2019,2020-07-08,8.0,0,27.0
2019,2020-07-09,9.0,0,28.0
2019,2020-07-10,9.0,0,29.0
2019,2020-07-11,9.0,0,28.0
2019,2020-07-12,10.0,0,32.0
2019,2020-07-13,7.0,0,26.0
2019,2020-07-14,6.0,0,21.0
2019,2020-07-15,8.0,0,29.0
2019,2020-07-16,9.0,0,30.0
2019,2020-07-17,9.0,0,29.0
2019,2020-07-18,9.0,0,31.0
2019,2020-07-19,9.0,0,31.0
2019,2020-07-20,7.0,0,24.0
2019,2020-07-21,6.0,0,22.0
2019,2020-07-22,8.0,0,26.0
2019,2020-07-23,8.0,0,27.0
2019,2020-07-24,9.0,0,30.0
2019,2020-07-25,9.0,0,29.0
2019,2020-07-26,9.0,0,29.0
2019,2020-07-27,7.0,0,24.0
2019,2020-07-28,6.0,0,21.0
2019,2020-07-29,8.0,0,26.0
2019,2020-07-30,8.0,0,28.0
2019,2020-07-31,8.0,0,28.0
2019,2020-08-01,9.0,0,29.0
2019,2020-08-02,9.0,0,31.0
2019,2020-08-03,7.0,0,30.0
2019,2020-08-04,6.0,0,25.0
2019,2020-08-05,8.0,0,26.0
2019,2020-08-06,8.0,0,27.0
2019,2020-08-07,8.0,0,25.0
2019,2020-08-08,9.0,0,28.0
2019,2020-08-09,9.0,0,28.0
2019,2020-08-10,7.0,0,23.0
2019,2020-08-11,6.0,0,20.0
2019,2020-08-12,8.0,0,30.0
2019,2020-08-13,8.0,0,27.0
2019,2020-08-14,8.0,0,27.0
2019,2020-08-15,9.0,0,30.0
2019,2020-08-16,9.0,0,30.0
2019,2020-08-17,7.0,0,25.0
2019,2020-08-18,6.0,0,22.0
2019,2020-08-19,8.0,0,26.0
2019,2020-08-20,8.0,0,26.0
2019,2020-08-21,8.0,0,26.0
2019,2020-08-22,8.0,0,26.0
2019,2020-08-23,9.0,0,27.0
2019,2020-08-24,7.0,0,25.0
2019,2020-08-25,6.0,0,21.0
2019,2020-08-26,8.0,0,26.0
2019,2020-08-27,9.0,0,28.0
2019,2020-08-28,8.0,0,26.0
2019,2020-08-29,9.0,0,28.0
2019,2020-08-30,9.0,0,31.0
2019,2020-08-31,7.0,0,26.0
2019,2020-09-01,6.0,0,23.0
2019,2020-09-02,6.0,0,22.0
2019,2020-09-03,9.0,0,30.0
2019,2020-09-04,10.0,0,32.0
2019,2020-09-05,10.0,0,32.0
2019,2020-09-06,11.0,0,33.0
2019,2020-09-07,9.0,0,28.0
2019,2020-09-08,7.0,0,23.0
2019,2020-09-09,10.0,0,32.0
2019,2020-09-10,10.0,0,32.0
2019,2020-09-11,10.0,0,33.0
2019,2020-09-12,10.0,0,32.0
2019,2020-09-13,12.0,0,35.0
2019,2020-09-14,9.0,0,29.0
2019,2020-09-15,7.0,0,24.0
2019,2020-09-16,10.0,0,31.0
2019,2020-09-17,10.0,0,33.0
2019,2020-09-18,11.0,0,34.0
2019,2020-09-19,10.0,0,32.0
2019,2020-09-20,11.0,0,35.0
2019,2020-09-21,9.0,0,29.0
2019,2020-09-22,7.0,0,23.0
2019,2020-09-23,9.0,0,29.0
2019,2020-09-24,9.0,0,29.0
2019,2020-09-25,9.0,0,29.0
2019,2020-09-26,9.0,0,28.0
2019,2020-09-27,9.0,0,29.0
2019,2020-09-28,8.0,0,25.0
2019,2020-09-29,6.0,0,20.0
2019,2020-09-30,8.0,0,25.0
2019,2020-10-01,8.0,0,26.0
2019,2020-10-02,9.0,0,29.0
2019,2020-10-03,8.0,0,26.0
2019,2020-10-04,10.0,0,31.0
2019,2020-10-05,8.0,0,26.0
2019,2020-10-06,6.0,0,19.0
2019,2020-10-07,8.0,0,26.0
2019,2020-10-08,9.0,0,29.0
2019,2020-10-09,7.0,0,22.0
2019,2020-10-10,8.0,0,26.0
2019,2020-10-11,10.0,0,30.0
2019,2020-10-12,8.0,0,25.0
2019,2020-10-13,6.0,0,21.0
2019,2020-10-14,7.0,0,22.0
2019,2020-10-15,8.0,0,28.0
2019,2020-10-16,8.0,0,27.0
2019,2020-10-17,9.0,0,29.0
2019,2020-10-18,10.0,0,32.0
2019,2020-10-19,9.0,0,27.0
2019,2020-10-20,6.0,0,20.0
2019,2020-10-21,8.0,0,26.0
2019,2020-10-22,8.0,0,26.0
2019,2020-10-23,9.0,0,29.0
2019,2020-10-24,9.0,0,28.0
2019,2020-10-25,10.0,0,30.0
2019,2020-10-26,8.0,0,25.0
2019,2020-10-27,5.0,0,16.0
2019,2020-10-28,8.0,0,25.0
2019,2020-10-29,8.0,0,26.0
2019,2020-10-30,8.0,0,26.0
2019,2020-10-31,8.0,0,25.0
2019,2020-11-01,9.0,0,28.0
2019,2020-11-02,7.0,0,23.0
2019,2020-11-03,6.0,0,20.0
2019,2020-11-04,8.0,0,26.0
2019,2020-11-05,8.0,0,25.0
2019,2020-11-06,8.0,0,26.0
2019,2020-11-07,9.0,0,28.0
2019,2020-11-08,9.0,0,28.0
2019,2020-11-09,7.0,0,24.0
2019,2020-11-10,6.0,0,20.0
2019,2020-11-11,7.0,0,23.0
2019,2020-11-12,7.0,0,24.0
2019,2020-11-13,8.0,0,25.0
2019,2020-11-14,8.0,0,26.0
2019,2020-11-15,9.0,0,28.0
2019,2020-11-16,7.0,0,24.0
2019,2020-11-17,5.0,0,18.0
2019,2020-11-18,7.0,0,24.0
2019,2020-11-19,8.0,0,26.0
2019,2020-11-20,8.0,0,26.0
2019,2020-11-21,8.0,0,27.0
2019,2020-11-22,9.0,0,28.0
2019,2020-11-23,7.0,0,25.0
2019,2020-11-24,5.0,0,19.0
2019,2020-11-25,8.0,0,29.0
2019,2020-11-26,9.0,0,29.0
2019,2020-11-27,9.0,0,30.0
2019,2020-11-28,4.0,0,19.0
2019,2020-11-29,6.0,0,26.0
2019,2020-11-30,7.0,0,27.0
2019,2020-12-01,4.0,0,15.0
2019,2020-12-02,7.0,0,23.0
2019,2020-12-03,8.0,0,26.0
2019,2020-12-04,9.0,0,29.0
2019,2020-12-05,9.0,0,30.0
2019,2020-12-06,10.0,0,33.0
2019,2020-12-07,8.0,0,37.0
2019,2020-12-08,6.0,0,25.0
2019,2020-12-09,8.0,0,25.0
2019,2020-12-10,8.0,0,27.0
2019,2020-12-11,8.0,0,28.0
2019,2020-12-12,9.0,0,30.0
2019,2020-12-13,10.0,0,32.0
2019,2020-12-14,8.0,0,36.0
2019,2020-12-15,6.0,0,30.0
2019,2020-12-16,9.0,0,29.0
2019,2020-12-17,8.0,0,25.0
2019,2020-12-18,9.0,0,30.0
2019,2020-12-19,9.0,0,28.0
2019,2020-12-20,9.0,0,31.0
2019,2020-12-21,8.0,0,36.0
2019,2020-12-22,6.0,0,32.0
2019,2020-12-23,8.0,0,36.0
2019,2020-12-24,7.0,0,26.0
2019,2020-12-25,3.0,0,21.0
2019,2020-12-26,7.0,0,32.0
2019,2020-12-27,8.0,0,37.0
2019,2020-12-28,7.0,0,37.0
2019,2020-12-29,6.0,0,26.0
2019,2020-12-30,7.0,0,25.0
2019,2020-12-31,9.0,0,29.0
2020,2020-01-01,4.0,0,20.0
2020,2020-01-02,9.0,0,31.0
2020,2020-01-03,9.0,0,30.0
2020,2020-01-04,7.0,0,26.0
2020,2020-01-05,6.0,0,20.0
2020,2020-01-06,8.0,0,27.0
2020,2020-01-07,9.0,0,28.0
2020,2020-01-08,9.0,0,29.0
2020,2020-01-09,9.0,0,29.0
2020,2020-01-10,11.0,0,32.0
2020,2020-01-11,9.0,0,29.0
2020,2020-01-12,6.0,0,21.0
2020,2020-01-13,8.0,0,27.0
2020,2020-01-14,8.0,0,25.0
2020,2020-01-15,9.0,0,29.0
2020,2020-01-16,9.0,0,28.0
2020,2020-01-17,9.0,0,28.0
2020,2020-01-18,6.0,0,21.0
2020,2020-01-19,6.0,0,21.0
2020,2020-01-20,6.0,0,20.0
2020,2020-01-21,8.0,0,26.0
